=== Agent Install Log ===
=== Agent Compile Log ===
=== Agent Error Log ===
[2021-09-23 20:14:27,664] CRITICAL: Unknown resource Cell (0, 6) |Resource | wood | 800 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:27,664] CRITICAL: Unknown resource Cell (0, 7) |Resource | wood | 800 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:27,664] CRITICAL: Unknown resource Cell (0, 9) |Resource | wood | 313 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:27,664] CRITICAL: Unknown resource Cell (0, 14) |Resource | wood | 313 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:27,664] CRITICAL: Unknown resource Cell (0, 16) |Resource | wood | 800 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:27,664] CRITICAL: Unknown resource Cell (0, 17) |Resource | wood | 800 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:27,664] CRITICAL: Unknown resource Cell (1, 7) |Resource | wood | 800 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:27,664] CRITICAL: Unknown resource Cell (1, 8) |Resource | wood | 378 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:27,664] CRITICAL: Unknown resource Cell (1, 9) |Resource | wood | 348 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:27,664] CRITICAL: Unknown resource Cell (1, 14) |Resource | wood | 348 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:27,664] CRITICAL: Unknown resource Cell (1, 15) |Resource | wood | 378 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:27,664] CRITICAL: Unknown resource Cell (1, 16) |Resource | wood | 800 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:27,664] CRITICAL: Unknown resource Cell (3, 0) |Resource | wood | 375 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:27,665] CRITICAL: Unknown resource Cell (3, 2) |Resource | wood | 307 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:27,665] CRITICAL: Unknown resource Cell (3, 21) |Resource | wood | 307 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:27,665] CRITICAL: Unknown resource Cell (3, 23) |Resource | wood | 375 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:27,665] CRITICAL: Unknown resource Cell (4, 0) |Resource | wood | 312 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:27,665] CRITICAL: Unknown resource Cell (4, 1) |Resource | wood | 351 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:27,665] CRITICAL: Unknown resource Cell (4, 22) |Resource | wood | 351 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:27,665] CRITICAL: Unknown resource Cell (4, 23) |Resource | wood | 312 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:27,665] CRITICAL: Unknown resource Cell (5, 0) |Resource | wood | 312 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:27,665] CRITICAL: Unknown resource Cell (5, 1) |Resource | wood | 340 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:27,665] CRITICAL: Unknown resource Cell (5, 22) |Resource | wood | 340 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:27,665] CRITICAL: Unknown resource Cell (5, 23) |Resource | wood | 312 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:27,665] CRITICAL: Unknown resource Cell (12, 11) |Resource | wood | 301 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:27,665] CRITICAL: Unknown resource Cell (12, 12) |Resource | wood | 301 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:27,665] CRITICAL: Unknown resource Cell (13, 11) |Resource | wood | 310 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:27,665] CRITICAL: Unknown resource Cell (13, 12) |Resource | wood | 310 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:27,665] CRITICAL: Unknown resource Cell (15, 0) |Resource | wood | 349 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:27,665] CRITICAL: Unknown resource Cell (15, 23) |Resource | wood | 349 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:27,665] CRITICAL: Unknown resource Cell (22, 8) |Resource | wood | 382 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:27,665] CRITICAL: Unknown resource Cell (22, 9) |Resource | wood | 396 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:27,665] CRITICAL: Unknown resource Cell (22, 14) |Resource | wood | 396 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:27,665] CRITICAL: Unknown resource Cell (22, 15) |Resource | wood | 382 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:27,665] CRITICAL: Unknown resource Cell (23, 8) |Resource | wood | 342 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:27,665] CRITICAL: Unknown resource Cell (23, 9) |Resource | wood | 345 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:27,665] CRITICAL: Unknown resource Cell (23, 10) |Resource | wood | 302 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:27,666] CRITICAL: Unknown resource Cell (23, 13) |Resource | wood | 302 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:27,666] CRITICAL: Unknown resource Cell (23, 14) |Resource | wood | 345 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:27,666] CRITICAL: Unknown resource Cell (23, 15) |Resource | wood | 342 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:27,801] CRITICAL: Unknown resource Cell (0, 6) |Resource | wood | 780 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:27,801] CRITICAL: Unknown resource Cell (0, 7) |Resource | wood | 800 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:27,801] CRITICAL: Unknown resource Cell (0, 9) |Resource | wood | 321 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:27,801] CRITICAL: Unknown resource Cell (0, 14) |Resource | wood | 321 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:27,801] CRITICAL: Unknown resource Cell (0, 16) |Resource | wood | 800 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:27,801] CRITICAL: Unknown resource Cell (0, 17) |Resource | wood | 780 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:27,801] CRITICAL: Unknown resource Cell (1, 7) |Resource | wood | 780 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:27,801] CRITICAL: Unknown resource Cell (1, 8) |Resource | wood | 388 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:27,801] CRITICAL: Unknown resource Cell (1, 9) |Resource | wood | 357 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:27,801] CRITICAL: Unknown resource Cell (1, 14) |Resource | wood | 357 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:27,801] CRITICAL: Unknown resource Cell (1, 15) |Resource | wood | 388 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:27,801] CRITICAL: Unknown resource Cell (1, 16) |Resource | wood | 780 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:27,801] CRITICAL: Unknown resource Cell (3, 0) |Resource | wood | 385 |Road: 0 |, wood, wood, True
[2021-09-23 20:14:27,802] CRITICAL: Unknown resource Cell (3, 2) |Resource | wood | 315 |Road: 0 |, wood, wood, True
