=== Agent Install Log ===
=== Agent Compile Log ===
=== Agent Error Log ===
[2021-09-23 20:07:50,984] CRITICAL: Unknown resource Cell (3, 0) |<lux.game_map.Resource object at 0x0000015BBE18E790> |Road: 0 |
[2021-09-23 20:07:50,984] CRITICAL: Unknown resource Cell (3, 1) |<lux.game_map.Resource object at 0x0000015BBE18EE50> |Road: 0 |
[2021-09-23 20:07:50,984] CRITICAL: Unknown resource Cell (3, 14) |<lux.game_map.Resource object at 0x0000015BBE1950D0> |Road: 0 |
[2021-09-23 20:07:50,984] CRITICAL: Unknown resource Cell (3, 15) |<lux.game_map.Resource object at 0x0000015BBE195460> |Road: 0 |
[2021-09-23 20:07:50,984] CRITICAL: Unknown resource Cell (4, 0) |<lux.game_map.Resource object at 0x0000015BBE195940> |Road: 0 |
[2021-09-23 20:07:50,984] CRITICAL: Unknown resource Cell (4, 2) |<lux.game_map.Resource object at 0x0000015BBE195EE0> |Road: 0 |
[2021-09-23 20:07:50,984] CRITICAL: Unknown resource Cell (4, 13) |<lux.game_map.Resource object at 0x0000015BBE195F10> |Road: 0 |
[2021-09-23 20:07:50,984] CRITICAL: Unknown resource Cell (4, 15) |<lux.game_map.Resource object at 0x0000015BBE195B50> |Road: 0 |
[2021-09-23 20:07:50,984] CRITICAL: Unknown resource Cell (9, 2) |<lux.game_map.Resource object at 0x0000015BBE18F040> |Road: 0 |
[2021-09-23 20:07:50,984] CRITICAL: Unknown resource Cell (9, 13) |<lux.game_map.Resource object at 0x0000015BBE18F160> |Road: 0 |
[2021-09-23 20:07:50,984] CRITICAL: Unknown resource Cell (10, 0) |<lux.game_map.Resource object at 0x0000015BBE18F130> |Road: 0 |
[2021-09-23 20:07:50,984] CRITICAL: Unknown resource Cell (10, 1) |<lux.game_map.Resource object at 0x0000015BBE18F3A0> |Road: 0 |
[2021-09-23 20:07:50,984] CRITICAL: Unknown resource Cell (10, 14) |<lux.game_map.Resource object at 0x0000015BBE18FB50> |Road: 0 |
[2021-09-23 20:07:50,984] CRITICAL: Unknown resource Cell (10, 15) |<lux.game_map.Resource object at 0x0000015BBE18FA60> |Road: 0 |
[2021-09-23 20:07:51,202] CRITICAL: Unknown resource Cell (3, 0) |<lux.game_map.Resource object at 0x0000015BBE3BFCD0> |Road: 0 |
[2021-09-23 20:07:51,202] CRITICAL: Unknown resource Cell (3, 1) |<lux.game_map.Resource object at 0x0000015BBE3BFD90> |Road: 0 |
[2021-09-23 20:07:51,202] CRITICAL: Unknown resource Cell (3, 14) |<lux.game_map.Resource object at 0x0000015BBE3BFE20> |Road: 0 |
[2021-09-23 20:07:51,202] CRITICAL: Unknown resource Cell (3, 15) |<lux.game_map.Resource object at 0x0000015BBE3BFF10> |Road: 0 |
[2021-09-23 20:07:51,202] CRITICAL: Unknown resource Cell (4, 0) |<lux.game_map.Resource object at 0x0000015BBE3BFEE0> |Road: 0 |
[2021-09-23 20:07:51,202] CRITICAL: Unknown resource Cell (4, 2) |<lux.game_map.Resource object at 0x0000015BBE3BFFD0> |Road: 0 |
