=== Agent Install Log ===
=== Agent Compile Log ===
=== Agent Error Log ===
[2021-09-23 20:07:51,187] CRITICAL: Unknown resource Cell (3, 0) |<lux.game_map.Resource object at 0x000001D74906E790> |Road: 0 |
[2021-09-23 20:07:51,187] CRITICAL: Unknown resource Cell (3, 1) |<lux.game_map.Resource object at 0x000001D74906EE50> |Road: 0 |
[2021-09-23 20:07:51,187] CRITICAL: Unknown resource Cell (3, 14) |<lux.game_map.Resource object at 0x000001D7490750D0> |Road: 0 |
[2021-09-23 20:07:51,187] CRITICAL: Unknown resource Cell (3, 15) |<lux.game_map.Resource object at 0x000001D749075460> |Road: 0 |
[2021-09-23 20:07:51,187] CRITICAL: Unknown resource Cell (4, 0) |<lux.game_map.Resource object at 0x000001D749075940> |Road: 0 |
[2021-09-23 20:07:51,187] CRITICAL: Unknown resource Cell (4, 2) |<lux.game_map.Resource object at 0x000001D749075EE0> |Road: 0 |
[2021-09-23 20:07:51,187] CRITICAL: Unknown resource Cell (4, 13) |<lux.game_map.Resource object at 0x000001D749075F10> |Road: 0 |
[2021-09-23 20:07:51,187] CRITICAL: Unknown resource Cell (4, 15) |<lux.game_map.Resource object at 0x000001D749075B50> |Road: 0 |
[2021-09-23 20:07:51,187] CRITICAL: Unknown resource Cell (9, 2) |<lux.game_map.Resource object at 0x000001D74906F040> |Road: 0 |
[2021-09-23 20:07:51,187] CRITICAL: Unknown resource Cell (9, 13) |<lux.game_map.Resource object at 0x000001D74906F160> |Road: 0 |
[2021-09-23 20:07:51,187] CRITICAL: Unknown resource Cell (10, 0) |<lux.game_map.Resource object at 0x000001D74906F130> |Road: 0 |
[2021-09-23 20:07:51,188] CRITICAL: Unknown resource Cell (10, 1) |<lux.game_map.Resource object at 0x000001D74906F3A0> |Road: 0 |
[2021-09-23 20:07:51,188] CRITICAL: Unknown resource Cell (10, 14) |<lux.game_map.Resource object at 0x000001D74906FB50> |Road: 0 |
[2021-09-23 20:07:51,188] CRITICAL: Unknown resource Cell (10, 15) |<lux.game_map.Resource object at 0x000001D74906FA60> |Road: 0 |
[2021-09-23 20:07:51,202] CRITICAL: Unknown resource Cell (3, 0) |<lux.game_map.Resource object at 0x000001D74929FCD0> |Road: 0 |
[2021-09-23 20:07:51,202] CRITICAL: Unknown resource Cell (3, 1) |<lux.game_map.Resource object at 0x000001D74929FD90> |Road: 0 |
[2021-09-23 20:07:51,202] CRITICAL: Unknown resource Cell (3, 14) |<lux.game_map.Resource object at 0x000001D74929FE20> |Road: 0 |
[2021-09-23 20:07:51,202] CRITICAL: Unknown resource Cell (3, 15) |<lux.game_map.Resource object at 0x000001D74929FF10> |Road: 0 |
[2021-09-23 20:07:51,202] CRITICAL: Unknown resource Cell (4, 0) |<lux.game_map.Resource object at 0x000001D74929FEE0> |Road: 0 |
[2021-09-23 20:07:51,202] CRITICAL: Unknown resource Cell (4, 2) |<lux.game_map.Resource object at 0x000001D74929FFD0> |Road: 0 |
[2021-09-23 20:07:51,202] CRITICAL: Unknown resource Cell (4, 13) |<lux.game_map.Resource object at 0x000001D74906EC10> |Road: 0 |
[2021-09-23 20:07:51,202] CRITICAL: Unknown resource Cell (4, 15) |<lux.game_map.Resource object at 0x000001D74906EDC0> |Road: 0 |
[2021-09-23 20:07:51,202] CRITICAL: Unknown resource Cell (9, 2) |<lux.game_map.Resource object at 0x000001D74906EDF0> |Road: 0 |
[2021-09-23 20:07:51,202] CRITICAL: Unknown resource Cell (9, 13) |<lux.game_map.Resource object at 0x000001D7490758E0> |Road: 0 |
[2021-09-23 20:07:51,202] CRITICAL: Unknown resource Cell (10, 0) |<lux.game_map.Resource object at 0x000001D749075580> |Road: 0 |
[2021-09-23 20:07:51,202] CRITICAL: Unknown resource Cell (10, 1) |<lux.game_map.Resource object at 0x000001D749075EB0> |Road: 0 |
[2021-09-23 20:07:51,202] CRITICAL: Unknown resource Cell (10, 14) |<lux.game_map.Resource object at 0x000001D74906F6D0> |Road: 0 |
[2021-09-23 20:07:51,202] CRITICAL: Unknown resource Cell (10, 15) |<lux.game_map.Resource object at 0x000001D74906F6A0> |Road: 0 |
