=== Agent Install Log ===
=== Agent Compile Log ===
=== Agent Error Log ===
[2021-09-23 20:09:44,767] CRITICAL: Unknown resource Cell (2, 11) |Resource | wood | 800 |Road: 0 |
[2021-09-23 20:09:44,767] CRITICAL: Unknown resource Cell (3, 8) |Resource | wood | 358 |Road: 0 |
[2021-09-23 20:09:44,767] CRITICAL: Unknown resource Cell (3, 9) |Resource | wood | 395 |Road: 0 |
[2021-09-23 20:09:44,767] CRITICAL: Unknown resource Cell (3, 10) |Resource | wood | 800 |Road: 0 |
[2021-09-23 20:09:44,767] CRITICAL: Unknown resource Cell (3, 11) |Resource | wood | 800 |Road: 0 |
[2021-09-23 20:09:44,767] CRITICAL: Unknown resource Cell (4, 8) |Resource | wood | 365 |Road: 0 |
[2021-09-23 20:09:44,767] CRITICAL: Unknown resource Cell (4, 9) |Resource | wood | 356 |Road: 0 |
[2021-09-23 20:09:44,768] CRITICAL: Unknown resource Cell (7, 8) |Resource | wood | 365 |Road: 0 |
[2021-09-23 20:09:44,768] CRITICAL: Unknown resource Cell (7, 9) |Resource | wood | 356 |Road: 0 |
[2021-09-23 20:09:44,768] CRITICAL: Unknown resource Cell (8, 8) |Resource | wood | 358 |Road: 0 |
[2021-09-23 20:09:44,768] CRITICAL: Unknown resource Cell (8, 9) |Resource | wood | 395 |Road: 0 |
[2021-09-23 20:09:44,768] CRITICAL: Unknown resource Cell (8, 10) |Resource | wood | 800 |Road: 0 |
[2021-09-23 20:09:44,768] CRITICAL: Unknown resource Cell (8, 11) |Resource | wood | 800 |Road: 0 |
[2021-09-23 20:09:44,768] CRITICAL: Unknown resource Cell (9, 11) |Resource | wood | 800 |Road: 0 |
[2021-09-23 20:09:44,779] CRITICAL: Unknown resource Cell (2, 11) |Resource | wood | 780 |Road: 0 |
[2021-09-23 20:09:44,779] CRITICAL: Unknown resource Cell (3, 8) |Resource | wood | 367 |Road: 0 |
[2021-09-23 20:09:44,779] CRITICAL: Unknown resource Cell (3, 9) |Resource | wood | 405 |Road: 0 |
[2021-09-23 20:09:44,779] CRITICAL: Unknown resource Cell (3, 10) |Resource | wood | 780 |Road: 0 |
[2021-09-23 20:09:44,779] CRITICAL: Unknown resource Cell (3, 11) |Resource | wood | 800 |Road: 0 |
[2021-09-23 20:09:44,779] CRITICAL: Unknown resource Cell (4, 8) |Resource | wood | 375 |Road: 0 |
[2021-09-23 20:09:44,779] CRITICAL: Unknown resource Cell (4, 9) |Resource | wood | 365 |Road: 0 |
[2021-09-23 20:09:44,779] CRITICAL: Unknown resource Cell (7, 8) |Resource | wood | 375 |Road: 0 |
[2021-09-23 20:09:44,779] CRITICAL: Unknown resource Cell (7, 9) |Resource | wood | 365 |Road: 0 |
[2021-09-23 20:09:44,779] CRITICAL: Unknown resource Cell (8, 8) |Resource | wood | 367 |Road: 0 |
[2021-09-23 20:09:44,779] CRITICAL: Unknown resource Cell (8, 9) |Resource | wood | 405 |Road: 0 |
[2021-09-23 20:09:44,779] CRITICAL: Unknown resource Cell (8, 10) |Resource | wood | 780 |Road: 0 |
[2021-09-23 20:09:44,779] CRITICAL: Unknown resource Cell (8, 11) |Resource | wood | 800 |Road: 0 |
[2021-09-23 20:09:44,779] CRITICAL: Unknown resource Cell (9, 11) |Resource | wood | 780 |Road: 0 |
[2021-09-23 20:09:44,791] CRITICAL: Unknown resource Cell (2, 11) |Resource | wood | 760 |Road: 0 |
[2021-09-23 20:09:44,791] CRITICAL: Unknown resource Cell (3, 8) |Resource | wood | 377 |Road: 0 |
