=== Agent Install Log ===
=== Agent Compile Log ===
=== Agent Error Log ===
[2021-09-23 20:10:35,515] CRITICAL: Unknown resource Cell (0, 1) |Resource | wood | 319 |Road: 0 |
[2021-09-23 20:10:35,515] CRITICAL: Unknown resource Cell (0, 30) |Resource | wood | 319 |Road: 0 |
[2021-09-23 20:10:35,515] CRITICAL: Unknown resource Cell (1, 0) |Resource | wood | 362 |Road: 0 |
[2021-09-23 20:10:35,515] CRITICAL: Unknown resource Cell (1, 31) |Resource | wood | 362 |Road: 0 |
[2021-09-23 20:10:35,515] CRITICAL: Unknown resource Cell (4, 13) |Resource | wood | 351 |Road: 0 |
[2021-09-23 20:10:35,515] CRITICAL: Unknown resource Cell (4, 18) |Resource | wood | 351 |Road: 0 |
[2021-09-23 20:10:35,515] CRITICAL: Unknown resource Cell (5, 12) |Resource | wood | 369 |Road: 0 |
[2021-09-23 20:10:35,515] CRITICAL: Unknown resource Cell (5, 13) |Resource | wood | 363 |Road: 0 |
[2021-09-23 20:10:35,515] CRITICAL: Unknown resource Cell (5, 18) |Resource | wood | 363 |Road: 0 |
[2021-09-23 20:10:35,515] CRITICAL: Unknown resource Cell (5, 19) |Resource | wood | 369 |Road: 0 |
[2021-09-23 20:10:35,515] CRITICAL: Unknown resource Cell (6, 12) |Resource | wood | 351 |Road: 0 |
[2021-09-23 20:10:35,515] CRITICAL: Unknown resource Cell (6, 19) |Resource | wood | 351 |Road: 0 |
[2021-09-23 20:10:35,515] CRITICAL: Unknown resource Cell (7, 11) |Resource | wood | 375 |Road: 0 |
[2021-09-23 20:10:35,515] CRITICAL: Unknown resource Cell (7, 20) |Resource | wood | 375 |Road: 0 |
[2021-09-23 20:10:35,515] CRITICAL: Unknown resource Cell (8, 10) |Resource | wood | 800 |Road: 0 |
[2021-09-23 20:10:35,515] CRITICAL: Unknown resource Cell (8, 11) |Resource | wood | 800 |Road: 0 |
[2021-09-23 20:10:35,515] CRITICAL: Unknown resource Cell (8, 12) |Resource | wood | 800 |Road: 0 |
[2021-09-23 20:10:35,515] CRITICAL: Unknown resource Cell (8, 19) |Resource | wood | 800 |Road: 0 |
[2021-09-23 20:10:35,516] CRITICAL: Unknown resource Cell (8, 20) |Resource | wood | 800 |Road: 0 |
[2021-09-23 20:10:35,516] CRITICAL: Unknown resource Cell (8, 21) |Resource | wood | 800 |Road: 0 |
[2021-09-23 20:10:35,516] CRITICAL: Unknown resource Cell (12, 10) |Resource | wood | 327 |Road: 0 |
[2021-09-23 20:10:35,516] CRITICAL: Unknown resource Cell (12, 21) |Resource | wood | 327 |Road: 0 |
[2021-09-23 20:10:35,516] CRITICAL: Unknown resource Cell (13, 9) |Resource | wood | 340 |Road: 0 |
[2021-09-23 20:10:35,516] CRITICAL: Unknown resource Cell (13, 10) |Resource | wood | 366 |Road: 0 |
[2021-09-23 20:10:35,516] CRITICAL: Unknown resource Cell (13, 11) |Resource | wood | 387 |Road: 0 |
[2021-09-23 20:10:35,516] CRITICAL: Unknown resource Cell (13, 20) |Resource | wood | 387 |Road: 0 |
[2021-09-23 20:10:35,516] CRITICAL: Unknown resource Cell (13, 21) |Resource | wood | 366 |Road: 0 |
[2021-09-23 20:10:35,516] CRITICAL: Unknown resource Cell (13, 22) |Resource | wood | 340 |Road: 0 |
[2021-09-23 20:10:35,516] CRITICAL: Unknown resource Cell (14, 10) |Resource | wood | 327 |Road: 0 |
[2021-09-23 20:10:35,516] CRITICAL: Unknown resource Cell (14, 11) |Resource | wood | 330 |Road: 0 |
