=== Agent Install Log ===
=== Agent Compile Log ===
=== Agent Error Log ===
[2021-09-23 20:32:58,393] CRITICAL: Unknown resource Cell (0, 6) |Resource | wood | 391 |Road: 0 |
[2021-09-23 20:32:58,393] CRITICAL: Unknown resource Cell (0, 7) |Resource | wood | 368 |Road: 0 |
[2021-09-23 20:32:58,393] CRITICAL: Unknown resource Cell (1, 6) |Resource | wood | 344 |Road: 0 |
[2021-09-23 20:32:58,393] CRITICAL: Unknown resource Cell (1, 7) |Resource | wood | 393 |Road: 0 |
[2021-09-23 20:32:58,393] CRITICAL: Unknown resource Cell (2, 7) |Resource | wood | 328 |Road: 0 |
[2021-09-23 20:32:58,393] CRITICAL: Unknown resource Cell (3, 4) |Resource | wood | 800 |Road: 0 |
[2021-09-23 20:32:58,393] CRITICAL: Unknown resource Cell (4, 4) |Resource | wood | 800 |Road: 0 |
[2021-09-23 20:32:58,394] CRITICAL: Unknown resource Cell (5, 4) |Resource | wood | 800 |Road: 0 |
[2021-09-23 20:32:58,394] CRITICAL: Unknown resource Cell (6, 4) |Resource | wood | 800 |Road: 0 |
[2021-09-23 20:32:58,394] CRITICAL: Unknown resource Cell (7, 4) |Resource | wood | 800 |Road: 0 |
[2021-09-23 20:32:58,394] CRITICAL: Unknown resource Cell (8, 4) |Resource | wood | 800 |Road: 0 |
[2021-09-23 20:32:58,394] CRITICAL: Unknown resource Cell (9, 7) |Resource | wood | 328 |Road: 0 |
[2021-09-23 20:32:58,394] CRITICAL: Unknown resource Cell (10, 6) |Resource | wood | 344 |Road: 0 |
[2021-09-23 20:32:58,394] CRITICAL: Unknown resource Cell (10, 7) |Resource | wood | 393 |Road: 0 |
[2021-09-23 20:32:58,394] CRITICAL: Unknown resource Cell (11, 6) |Resource | wood | 391 |Road: 0 |
[2021-09-23 20:32:58,394] CRITICAL: Unknown resource Cell (11, 7) |Resource | wood | 368 |Road: 0 |
[2021-09-23 20:32:58,436] CRITICAL: Unknown resource Cell (0, 6) |Resource | wood | 401 |Road: 0 |
[2021-09-23 20:32:58,436] CRITICAL: Unknown resource Cell (0, 7) |Resource | wood | 378 |Road: 0 |
[2021-09-23 20:32:58,436] CRITICAL: Unknown resource Cell (1, 6) |Resource | wood | 353 |Road: 0 |
[2021-09-23 20:32:58,436] CRITICAL: Unknown resource Cell (1, 7) |Resource | wood | 403 |Road: 0 |
[2021-09-23 20:32:58,436] CRITICAL: Unknown resource Cell (2, 7) |Resource | wood | 337 |Road: 0 |
[2021-09-23 20:32:58,436] CRITICAL: Unknown resource Cell (3, 4) |Resource | wood | 800 |Road: 0 |
[2021-09-23 20:32:58,437] CRITICAL: Unknown resource Cell (4, 4) |Resource | wood | 780 |Road: 0 |
